epoch,train loss,train acc,test acc,escape time
0,0.9095,0.7054,0.8098,83.16121172904968
1,0.0040,0.8105,0.8107,82.68008518218994
2,0.0036,0.8237833333333333,0.8298,81.69500136375427
3,0.0047,0.7970666666666667,0.8254,81.97300815582275
4,0.0036,0.8280166666666666,0.8235,80.36298894882202
5,0.0034,0.8350333333333333,0.8231,85.65467977523804
6,0.0033,0.8397,0.8411,81.11159801483154
7,0.0032,0.8448833333333333,0.8449,82.80262875556946
8,0.0032,0.8467666666666667,0.8414,84.84073686599731
9,0.0032,0.8462166666666666,0.8412,82.7454662322998
10,0.0031,0.8496,0.8508,83.2470588684082
11,0.0031,0.8503833333333334,0.8388,82.98814558982849
12,0.0031,0.8492,0.8488,83.2866621017456
13,0.0032,0.8494166666666667,0.8482,82.02277946472168
14,0.0031,0.8514833333333334,0.8446,81.49950766563416
15,0.0031,0.8499833333333333,0.8524,82.37008476257324
16,0.0031,0.8521166666666666,0.8456,83.2234673500061
17,0.0030,0.8527666666666667,0.8482,83.85174679756165
18,0.0031,0.8539333333333333,0.8514,78.56526470184326
19,0.0031,0.8509,0.8561,73.88470935821533
